[22:21:16:203] [INFO] - org.hibernate.validator.internal.util.Version.<clinit>(Version.java:21) - HV000001: Hibernate Validator 6.0.14.Final
[22:21:18:879] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.20966135458167331, cpuUser=0.14392430278884463, cpuSys=0.06573705179282868, cpuWait=0.0, cpuIdle=0.7903386454183267, memTotal=16982999040, memUsed=6311477248, memFree=10671521792, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35453028KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683648KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:21:23:606] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.1027327935222672, cpuUser=0.05516194331983806, cpuSys=0.04757085020242915, cpuWait=0.0, cpuIdle=0.8972672064777328, memTotal=16982999040, memUsed=6662811648, memFree=10320187392, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35480472KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683644KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:21:28:610] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.06270216471759144, cpuUser=0.0587210748942523, cpuSys=0.003981089823339139, cpuWait=0.0, cpuIdle=0.9372978352824085, memTotal=16982999040, memUsed=6635614208, memFree=10347384832, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35480440KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683644KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:21:33:608] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.05120481927710843, cpuUser=0.0391566265060241, cpuSys=0.012048192771084338, cpuWait=0.0, cpuIdle=0.9487951807228916, memTotal=16982999040, memUsed=6622543872, memFree=10360455168, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35480464KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683644KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:21:38:661] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.01949512621844539, cpuUser=0.003999000249937516, cpuSys=0.015496125968507872, cpuWait=0.0, cpuIdle=0.9805048737815546, memTotal=16982999040, memUsed=6712659968, memFree=10270339072, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35480412KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683644KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:21:43:608] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.13545026048127015, cpuUser=0.011411560406846936, cpuSys=0.12403870007442322, cpuWait=0.0, cpuIdle=0.8645497395187298, memTotal=16982999040, memUsed=6706618368, memFree=10276380672, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35480396KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683644KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:21:48:608] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.22172396611858497, cpuUser=0.05057299451918286, cpuSys=0.1711509715994021, cpuWait=0.0, cpuIdle=0.7782760338814151, memTotal=16982999040, memUsed=6722879488, memFree=10260119552, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35480276KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683644KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:21:53:608] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.13631815907953979, cpuUser=0.0037518759379689846, cpuSys=0.1325662831415708, cpuWait=0.0, cpuIdle=0.8636818409204602, memTotal=16982999040, memUsed=6698381312, memFree=10284617728, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35480492KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683640KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:21:58:615] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.07565371921807566, cpuUser=0.012185833968012186, cpuSys=0.06346788525006347, cpuWait=0.0, cpuIdle=0.9243462807819244, memTotal=16982999040, memUsed=6727327744, memFree=10255671296, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35480464KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683636KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:22:03:607] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.026899128268991282, cpuUser=0.015442092154420922, cpuSys=0.01145703611457036, cpuWait=0.0, cpuIdle=0.9731008717310087, memTotal=16982999040, memUsed=6782128128, memFree=10200870912, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35480208KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683636KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:22:08:608] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.007589172780166962, cpuUser=0.003794586390083481, cpuSys=0.003794586390083481, cpuWait=0.0, cpuIdle=0.9924108272198331, memTotal=16982999040, memUsed=6766723072, memFree=10216275968, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35478928KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683636KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
